,townships,sr,First_ts,First_sr,Township_Name_Eng,Tsp_Pcode,SR_Pcode,SR_Name_Eng,Township_Name_MMR
92,Buthidaung Township,Rakhine State,Buthidaung,Rakhine,Buthidaung,MMR012010,MMR012,Rakhine,ဘူးသီးတောင်
93,Pyinoolwin Township,Mandalay Region,Pyinoolwin,Mandalay,Pyinoolwin,MMR010008,MMR010,Mandalay,ပြင်ဦးလွင်
94,Monywa Township,Sagaing Region,Monywa,Sagaing,Monywa,MMR005012,MMR005,Sagaing,မုံရွာ
95,Kyaukse Township,Mandalay Region,Kyaukse,Mandalay,Kyaukse,MMR010013,MMR010,Mandalay,ကျောက်ဆည်
96,Toungup Township,Rakhine State,Toungup,Rakhine,Toungup,MMR012016,MMR012,Rakhine,တောင်ကုတ်
97,Ann Township,Rakhine State,Ann,Rakhine,Ann,MMR012014,MMR012,Rakhine,အမ်း
98,Kyaukpadaung Township,Mandalay Region,Kyaukpadaung,Mandalay,Kyaukpadaung,MMR010020,MMR010,Mandalay,ကျောက်ပန်းတောင်း
99,Bilin Township,Mon State,Bilin,Mon,Bilin,MMR011010,MMR011,Mon,ဘီးလင်း
100,Rathedaung Township,Rakhine State,Rathedaung,Rakhine,Rathedaung,MMR012008,MMR012,Rakhine,ရသေ့တောင်
101,Yenangyaung Township,Magway Region,Yenangyaung,Magway,Yenangyaung,MMR009002,MMR009,Magway,ရေနံချောင်း
102,Ingapu Township,Ayeyarwady Region,Ingapu,Ayeyarwady,Ingapu,MMR017013,MMR017,Ayeyarwady,အင်္ဂပူ
103,Chauk Township,Magway Region,Chauk,Magway,Chauk,MMR009003,MMR009,Magway,ချောက်
104,Paung Township,Mon State,Paung,Mon,Paung,MMR011008,MMR011,Mon,ပေါင်
105,Tedim Township,Chin State,Tedim,Chin,Tedim,MMR004004,MMR004,Chin,တီးတိန်
106,Nyaung-U Township,Mandalay Region,Nyaung-U,Mandalay,Nyaung-U,MMR010022,MMR010,Mandalay,ညောင်ဦး
107,Pakokku Township,Magway Region,Pakokku,Magway,Pakokku,MMR009018,MMR009,Magway,ပခုက္ကူ
108,Yegyi Township,Ayeyarwady Region,Yegyi,Ayeyarwady,Yegyi,MMR017006,MMR017,Ayeyarwady,ရေကြည်
109,Pauktaw Township,Rakhine State,Pauktaw,Rakhine,Pauktaw,MMR012007,MMR012,Rakhine,ပေါက်တော
110,Madaya Township,Mandalay Region,Madaya,Mandalay,Madaya,MMR010009,MMR010,Mandalay,မတ္တရာ
111,Thandwe Township,Rakhine State,Thandwe,Rakhine,Thandwe,MMR012015,MMR012,Rakhine,သံတွဲ
